Fund Name,Category,NAV,Risk Rating
Alhamra Wada Fund (Alhamra Wada Plan XIV),Shariah Compliant Fixed Rate / Return (Annualized Return),101.9438,
Alhamra Wada Fund (Alhamra Wada Plan XV),Shariah Compliant Fixed Rate / Return (Annualized Return),100.6019,
Faysal Islamic Mustakil Munafa Fund (Faysal Islamic Mehdood Muddat Plan I),Shariah Compliant Fixed Rate / Return (Annualized Return),121.8015,
Faysal Islamic Mustakil Munafa Fund (Faysal Islamic Mehdood Muddat Plan VI),Shariah Compliant Fixed Rate / Return (Annualized Return),105.7722,
Faysal Islamic Mustakil Munafa Fund (Faysal Islamic Mehdood Muddat Plan XII),Shariah Compliant Fixed Rate / Return (Annualized Return),102.1758,
Faysal Islamic Mustakil Munafa Fund (Faysal Islamic Mehdood Muddat Plan XIII),Shariah Compliant Fixed Rate / Return (Annualized Return),101.0063,
Faysal Islamic Mustakil Munafa Fund (Faysal Islamic Mehdood Muddat Plan XIV),Shariah Compliant Fixed Rate / Return (Annualized Return),101.0426,
Faysal Islamic Mustakil Munafa Fund (Faysal Islamic Mehdood Muddat Plan XV),Shariah Compliant Fixed Rate / Return (Annualized Return),100.5759,
HBL Islamic Fixed Term Fund Plan V,Shariah Compliant Fixed Rate / Return (Annualized Return),100.6076,
HBL Islamic Fixed Term Fund Plan VI,Shariah Compliant Fixed Rate / Return (Annualized Return),100.0,
Lucky Islamic Fixed Term Fund Plan IV,Shariah Compliant Fixed Rate / Return (Annualized Return),102.6572,
Lucky Islamic Fixed Term Fund Plan IX,Shariah Compliant Fixed Rate / Return (Annualized Return),100.2282,
Lucky Islamic Fixed Term Fund Plan V,Shariah Compliant Fixed Rate / Return (Annualized Return),101.4301,
Lucky Islamic Fixed Term Fund Plan VI,Shariah Compliant Fixed Rate / Return (Annualized Return),101.0903,
Lucky Islamic Fixed Term Fund Plan VII,Shariah Compliant Fixed Rate / Return (Annualized Return),100.6224,
Lucky Islamic Fixed Term Fund Plan VIII,Shariah Compliant Fixed Rate / Return (Annualized Return),100.4002,
Lucky Islamic Fixed Term Fund Plan X,Shariah Compliant Fixed Rate / Return (Annualized Return),100.0855,
Lucky Islamic Fixed Term Fund Plan XI,Shariah Compliant Fixed Rate / Return (Annualized Return),100.2563,
Meezan Paidaar Munafa Plan XXVII,Shariah Compliant Fixed Rate / Return (Annualized Return),51.2676,
Meezan Paidaar Munafa Plan XXX,Shariah Compliant Fixed Rate / Return (Annualized Return),50.662,
Meezan Paidaar Munafa Plan XXXI,Shariah Compliant Fixed Rate / Return (Annualized Return),50.561,
Meezan Paidaar Munafa Plan XXXII,Shariah Compliant Fixed Rate / Return (Annualized Return),50.2733,
NBP Islamic Fixed Term Munafa Plan IA (NBP Islamic Mustahkam Fund),Shariah Compliant Fixed Rate / Return (Annualized Return),10.0262,
NBP Islamic Fixed Term Munafa Plan IX (NBP Islamic Mustahkam Fund),Shariah Compliant Fixed Rate / Return (Annualized Return),10.1082,
NBP Islamic Fixed Term Munafa Plan VIII (NBP Islamic Mustahkam Fund),Shariah Compliant Fixed Rate / Return (Annualized Return),10.1627,
NBP Islamic Fixed Term Munafa Plan X (NBP Islamic Mustahkam Fund),Shariah Compliant Fixed Rate / Return (Annualized Return),10.06,
ABL Islamic Financial Planning Fund (Capital Preservation Plan I),Shariah Compliant Fund of Funds - CPPI (Absolute Return),112.2123,
Al Ameen Islamic Aggressive Income Fund,Shariah Compliant Aggressive Fixed Income (Annualized Return),105.9584,A+(f)
Al Ameen Islamic Aggressive Income Plan I,Shariah Compliant Aggressive Fixed Income (Annualized Return),117.8049,A+(f)
Faysal Islamic Financial Growth Fund (Faysal Islamic Financial Growth Plan I),Shariah Compliant Aggressive Fixed Income (Annualized Return),104.755,A+(f)
Faysal Islamic Financial Growth Fund (Faysal Islamic Financial Growth Plan II),Shariah Compliant Aggressive Fixed Income (Annualized Return),104.8942,
Faysal Islamic Financial Growth Fund II,Shariah Compliant Aggressive Fixed Income (Annualized Return),100.6356,
Meezan Balanced Fund,Shariah Compliant Balanced (Absolute Return),28.2024,
ABL Islamic Asset Allocation Fund,Shariah Compliant Asset Allocation (Absolute Return),10.1271,
Al Ameen Islamic Asset Allocation Fund,Shariah Compliant Asset Allocation (Absolute Return),220.9608,
Alfalah GHP Islamic Value Fund,Shariah Compliant Asset Allocation (Absolute Return),135.3447,
Alhamra Islamic Asset Allocation Fund,Shariah Compliant Asset Allocation (Absolute Return),219.7798,
AWT Islamic Asset Allocation Fund (Formerly AWT Stock Fund),Shariah Compliant Asset Allocation (Absolute Return),186.5269,
Faysal Islamic Asset Allocation Fund,Shariah Compliant Asset Allocation (Absolute Return),94.8413,
Faysal Islamic Asset Allocation Fund II,Shariah Compliant Asset Allocation (Absolute Return),121.9987,
Faysal Islamic Asset Allocation Fund III (Faysal Shariah Flex Plan I),Shariah Compliant Asset Allocation (Absolute Return),103.3615,
Faysal Islamic Asset Allocation Fund III (Faysal Shariah Flex Plan II),Shariah Compliant Asset Allocation (Absolute Return),101.2411,
HBL Islamic Asset Allocation Fund,Shariah Compliant Asset Allocation (Absolute Return),321.91,
Lakson Islamic Tactical Fund,Shariah Compliant Asset Allocation (Absolute Return),95.6728,
Meezan Asset Allocation Fund,Shariah Compliant Asset Allocation (Absolute Return),120.615,
Meezan Dynamic Asset Allocation Fund (Meezan Dividend Yield Plan),Shariah Compliant Asset Allocation (Absolute Return),89.0219,
NBP Islamic Sarmaya Izafa Fund,Shariah Compliant Asset Allocation (Absolute Return),37.4208,
Pak Oman Islamic Asset Allocation Fund,Shariah Compliant Asset Allocation (Absolute Return),49.0784,
Pak Qatar Asset Allocation Plan I (PQAAP  IA),Shariah Compliant Asset Allocation (Absolute Return),125.46,
Pak Qatar Asset Allocation Plan II (PQAAP  IIA),Shariah Compliant Asset Allocation (Absolute Return),122.8977,
Pak-Qatar Asset Allocation Plan III (PQAAP  IIIA),Shariah Compliant Asset Allocation (Absolute Return),176.2892,
ABL Islamic Financial Planning Fund (Active Allocation Plan),Shariah Compliant Fund of Funds (Absolute Return),105.1245,
ABL Islamic Financial Planning Fund (Conservative Allocation Plan),Shariah Compliant Fund of Funds (Absolute Return),121.2347,
Alfalah GHP Islamic Prosperity Planning Fund (Alfalah GHP Islamic Active Allocation Plan II),Shariah Compliant Fund of Funds (Absolute Return),103.0659,
Alfalah GHP Islamic Prosperity Planning Fund (Alfalah GHP Islamic Balance Allocation Plan),Shariah Compliant Fund of Funds (Absolute Return),109.0166,
Alfalah GHP Islamic Prosperity Planning Fund (Alfalah GHP Islamic Moderate Allocation Plan),Shariah Compliant Fund of Funds (Absolute Return),116.8592,
Alfalah KTrade Islamic Plan VII,Shariah Compliant Fund of Funds (Absolute Return),128.9641,
Alhamra Smart Portfolio,Shariah Compliant Fund of Funds (Absolute Return),168.0451,
Atlas Islamic Fund of Funds (Atlas Conservative Allocation Islamic Plan),Shariah Compliant Fund of Funds (Absolute Return),930.3148,
Faysal Islamic Financial Planning Fund II (Faysal Priority Ascend Plan I),Shariah Compliant Fund of Funds (Absolute Return),112.1208,
Faysal Islamic Financial Planning Fund II (Faysal Priority Ascend Plan II),Shariah Compliant Fund of Funds (Absolute Return),103.6888,
Faysal Islamic Financial Planning Fund II (Faysal Priority Ascend Plan III),Shariah Compliant Fund of Funds (Absolute Return),105.335,
Faysal Khushal Mustaqbil Fund (Faysal Barak’ah Women Savers Plan),Shariah Compliant Fund of Funds (Absolute Return),104.6414,
Faysal Khushal Mustaqbil Fund (Faysal Nu’umah Women Savers Plan),Shariah Compliant Fund of Funds (Absolute Return),104.6267,
Meezan Financial Planning Fund of Funds (Aggressive),Shariah Compliant Fund of Funds (Absolute Return),185.0654,
Meezan Financial Planning Fund of Funds (Conservative),Shariah Compliant Fund of Funds (Absolute Return),121.4798,
Meezan Financial Planning Fund of Funds (MAAP I),Shariah Compliant Fund of Funds (Absolute Return),146.5347,
Meezan Financial Planning Fund of Funds (Moderate),Shariah Compliant Fund of Funds (Absolute Return),146.2312,
Meezan Financial Planning Fund of Funds (Very Conservative Allocation Plan),Shariah Compliant Fund of Funds (Absolute Return),53.1667,
Meezan Strategic Allocation Fund (MSAP I),Shariah Compliant Fund of Funds (Absolute Return),96.9831,
Meezan Strategic Allocation Fund (MSAP II),Shariah Compliant Fund of Funds (Absolute Return),83.1527,
Meezan Strategic Allocation Fund (MSAP III),Shariah Compliant Fund of Funds (Absolute Return),92.214,
Meezan Strategic Allocation Fund (MSAP IV),Shariah Compliant Fund of Funds (Absolute Return),96.7353,
Meezan Strategic Allocation Fund (MSAP V),Shariah Compliant Fund of Funds (Absolute Return),109.0041,
KSE Meezan Index Fund,Shariah Compliant Index Tracker (Absolute Return),188.7548,
Meezan Gold Fund,Shariah Compliant Commodities (Absolute Return),281.563,
